grid_id,geometry,公交站2020,商业2020,地铁站2020,教育2020,文化2020,road_weight
20,"POLYGON ((-9788948 5159381, -9788448 5159381, -9788448 5158881, -9788948 5158881, -9788948 5159381))",0,0,0,0,0,0
21,"POLYGON ((-9788948 5159881, -9788448 5159881, -9788448 5159381, -9788948 5159381, -9788948 5159881))",0,0,0,0,0,0
22,"POLYGON ((-9788948 5160381, -9788448 5160381, -9788448 5159881, -9788948 5159881, -9788948 5160381))",0,0,0,0,0,22353.997
23,"POLYGON ((-9788948 5160881, -9788448 5160881, -9788448 5160381, -9788948 5160381, -9788948 5160881))",0,0,0,0,0,48921.988
24,"MULTIPOLYGON (((-9788448 5161381, -9788448 5160881, -9788948 5160881, -9788948 5160969.783837354, -9788945.64694721 5160973.420901116, -9788937.835825104 5160985.494379739, -9788932.258733595 5160993.607691251, -9788924.917761087 5161004.286934216, -9788920.951224532 5161009.552356, -9788920.298897235 5161010.393443784, -9788918.25572419 5161013.0276227975, -9788917.826661967 5161013.580852649, -9788908.762127435 5161025.267817998, -9788900.158030313 5161036.361008922, -9788891.5200697 5161047.784465549, -9788879.188184984 5161064.092872705, -9788867.1689809 5161079.987856528, -9788856.973461058 5161093.470932659, -9788856.932336042 5161093.525289907, -9788850.20449412 5161102.4225696735, -9788841.041798595 5161114.539760162, -9788823.071110575 5161136.4400094785, -9788799.900082495 5161164.677676493, -9788798.507714916 5161166.259684013, -9788788.960321004 5161177.107509264, -9788782.480384868 5161184.470030613, -9788774.007195203 5161193.840502628, -9788774.006948328 5161193.840748121, -9788774.006742412 5161193.840993803, -9788756.382211128 5161213.331820823, -9788756.332398854 5161213.386959788, -9788756.331575561 5161213.387860305, -9788756.330751887 5161213.388843033, -9788742.378832458 5161228.817991795, -9788720.325584253 5161251.871581611, -9788710.108158078 5161262.232812467, -9788710.09947533 5161262.241651097, -9788698.041601343 5161274.4691093825, -9788692.660722215 5161279.925681609, -9788670.02936019 5161301.93065025, -9788670.026973898 5161301.932982221, -9788666.985177243 5161304.890585988, -9788663.357062502 5161308.4183224775, -9788646.844859947 5161324.473386889, -9788643.851182753 5161327.375966487, -9788643.842789823 5161327.384107635, -9788622.081602009 5161348.483590998, -9788613.275045143 5161357.021917468, -9788593.570094291 5161376.126691205, -9788588.55693549 5161381, -9788448 5161381)), ((-9788803.65909643 5161381, -9788803.424488354 5161367.500239614, -9788803.200941196 5161354.632254977, -9788802.601545256 5161320.1345880665, -9788801.791703513 5161273.530181738, -9788799.298247982 5161273.599623996, -9788799.297306022 5161273.599619589, -9788755.76386452 5161274.811510655, -9788798.15098579 5161229.122675797, -9788798.152344353 5161229.121161163, -9788800.9672936 5161226.086880076, -9788801.180865852 5161238.376340414, -9788815.62208043 5161219.135475297, -9788825.047429977 5161206.577497387, -9788830.745140066 5161198.986085326, -9788838.125816412 5161189.1523472825, -9788845.231124328 5161179.665385239, -9788852.231125604 5161170.319016524, -9788853.909046974 5161168.078639684, -9788857.526078273 5161163.249157988, -9788861.54902676 5161157.877761517, -9788869.100965299 5161147.7944142595, -9788876.457675448 5161137.971767867, -9788883.750248075 5161128.234658639, -9788889.968709836 5161119.931750594, -9788890.15148918 5161128.090207052, -9788890.736895265 5161154.217985375, -9788891.277204303 5161178.332376487, -9788891.823489055 5161202.713316271, -9788892.795722656 5161246.10472273, -9788894.088607838 5161303.806584082, -9788894.341918293 5161315.112154736, -9788894.993455775 5161344.190930597, -9788895.818222329 5161381, -9788803.65909643 5161381)), ((-9788948 5161110.851562589, -9788942.330324115 5161111.0421912065, -9788923.89228556 5161111.662096244, -9788909.292894656 5161112.152755195, -9788907.99351953 5161112.196472892, -9788907.991553355 5161112.196545929, -9788903.360056436 5161112.35235175, -9788895.437263861 5161112.63029715, -9788898.982211234 5161107.483059972, -9788901.105631553 5161104.399930637, -9788902.00907121 5161103.088177973, -9788902.914324975 5161101.77376189, -9788908.38220115 5161093.562072778, -9788911.854671508 5161088.347086834, -9788913.1556819 5161086.393203985, -9788914.482591301 5161084.4004725125, -9788915.362028198 5161083.079771248, -9788919.99564807 5161076.120969851, -9788924.984763116 5161068.62828504, -9788931.525662363 5161058.805118534, -9788936.414460033 5161051.463124134, -9788937.907064164 5161049.523087567, -9788944.597158574 5161040.827495168, -9788948 5161036.4045652775, -9788948 5161110.851562589)))",0,0,0,0,0,13235.979
25,"MULTIPOLYGON (((-9788895.818222329 5161381, -9788896.150612071 5161395.834448681, -9788896.793066572 5161424.506901615, -9788898.007184401 5161478.693497387, -9788898.189829601 5161488.289344182, -9788898.18996695 5161488.295058972, -9788898.340529827 5161496.205419422, -9788898.34065289 5161496.214217323, -9788898.82242835 5161521.522670292, -9788899.9956667 5161583.158760393, -9788900.25091543 5161596.568483916, -9788900.777393814 5161624.226573045, -9788900.94208527 5161632.880783447, -9788901.170164367 5161644.862135802, -9788901.563782208 5161665.545022871, -9788902.494190125 5161714.429781056, -9788902.670625376 5161723.69703589, -9788903.050802846 5161743.666523066, -9788903.093959605 5161745.932505913, -9788903.79205774 5161782.601579389, -9788904.020410374 5161794.596109935, -9788904.208449252 5161804.471312093, -9788904.842286404 5161837.764357439, -9788905.128585244 5161852.811724484, -9788905.131442934 5161852.972891095, -9788905.198289132 5161856.897861724, -9788905.40934512 5161869.284804649, -9788905.608807847 5161881, -9788714.073149499 5161881, -9788713.505400728 5161849.362040179, -9788713.106480224 5161827.131741239, -9788713.069573293 5161815.3275820445, -9788713.062553942 5161813.086129896, -9788712.438923752 5161807.3563709725, -9788710.759160766 5161791.92465194, -9788724.825387882 5161711.638549299, -9788724.825639931 5161711.637193855, -9788724.988931552 5161710.705092647, -9788765.595101973 5161718.0024153115, -9788798.391961979 5161723.895967333, -9788798.524553921 5161723.919773667, -9788809.65322773 5161725.9195392765, -9788809.493226975 5161716.713529147, -9788808.211313145 5161642.949374302, -9788807.973637378 5161629.266739632, -9788807.912075222 5161625.721080356, -9788807.721718313 5161614.761703026, -9788806.69638418 5161555.773939059, -9788805.888686977 5161509.281535784, -9788805.085307736 5161463.042813071, -9788804.26357786 5161415.782922579, -9788803.65909643 5161381, -9788895.818222329 5161381)), ((-9788448 5161381, -9788588.55693549 5161381, -9788583.268089496 5161386.141305254, -9788551.662185248 5161416.865487419, -9788546.486467876 5161421.907372384, -9788524.124837946 5161443.69098163, -9788519.530492445 5161448.166533269, -9788496.780671466 5161470.328073878, -9788496.207919292 5161470.88359395, -9788491.27729532 5161475.665630872, -9788491.260303583 5161475.6820355095, -9788484.315225087 5161482.41786276, -9788483.58205459 5161483.12892322, -9788469.651451392 5161496.624845733, -9788448 5161517.600673428, -9788448 5161381)))",0,0,0,0,0,3027.067
26,"POLYGON ((-9788905.608807847 5161881, -9788906.551269863 5161936.354335093, -9788906.734374678 5161947.110091102, -9788907.431149561 5161988.031879926, -9788907.802812794 5162009.861293169, -9788908.067060076 5162025.382715472, -9788908.517673912 5162051.849820774, -9788908.761745859 5162066.183136966, -9788909.30184525 5162097.905405284, -9788909.572315212 5162113.791041981, -9788910.062903866 5162142.603385831, -9788910.684092328 5162179.086920009, -9788911.430814454 5162200.567501824, -9788910.406263655 5162200.582454262, -9788890.681365805 5162200.870420896, -9788882.841162588 5162200.985927091, -9788865.284693612 5162201.241127946, -9788797.019935764 5162202.451223219, -9788722.92971533 5162203.847475222, -9788722.41648595 5162203.857444651, -9788721.389536062 5162203.877298898, -9788721.389497207 5162203.876846484, -9788721.389381984 5162203.875201463, -9788721.38860431 5162203.866276506, -9788719.450850397 5162180.657213005, -9788717.596439522 5162077.318728471, -9788717.244044948 5162057.69997008, -9788717.23022468 5162056.928902092, -9788714.073149499 5161881, -9788905.608807847 5161881))",0,0,0,0,0,1978.312
27,"POLYGON ((-9787948 5154881, -9787948 5154849.0090809995, -9787968.486492869 5154853.456227647, -9787975.89397237 5154855.064228902, -9788011.031250851 5154862.693179994, -9788015.774224358 5154863.722917671, -9788024.082484769 5154865.526768242, -9788024.19411041 5154865.549729181, -9788055.478052624 5154871.976661282, -9788055.483858878 5154871.97783914, -9788079.927987054 5154876.999595737, -9788099.400973208 5154881, -9787948 5154881))",0,0,0,0,0,0
28,"POLYGON ((-9788448 5155381, -9787948 5155381, -9787948 5154881, -9788099.400973208 5154881, -9788109.89808699 5154883.156459127, -9788143.587754935 5154890.077314011, -9788154.997093556 5154892.738947983, -9788154.998360956 5154892.739241559, -9788214.182419755 5154906.545873498, -9788260.57039102 5154917.36707509, -9788310.130066065 5154928.927925757, -9788324.129771825 5154932.193626906, -9788353.099017866 5154938.715376446, -9788353.10564121 5154938.716886632, -9788391.584108459 5154947.379369696, -9788404.649514515 5154950.320693853, -9788431.281646205 5154955.432999764, -9788431.282709556 5154955.4331690995, -9788448 5154958.642164529, -9788448 5155381))",0,0,0,0,0,5902.865
29,"POLYGON ((-9788448 5155881, -9787948 5155881, -9787948 5155381, -9788448 5155381, -9788448 5155881))",0,0,0,0,0,7183.01
30,"POLYGON ((-9788448 5156381, -9787948 5156381, -9787948 5155881, -9788448 5155881, -9788448 5156381))",0,0,0,0,0,0
31,"POLYGON ((-9788448 5156881, -9787948 5156881, -9787948 5156381, -9788448 5156381, -9788448 5156881))",0,0,0,0,0,0
32,"POLYGON ((-9788448 5157381, -9787948 5157381, -9787948 5156881, -9788448 5156881, -9788448 5157381))",0,0,0,0,0,0
33,"POLYGON ((-9788448 5157881, -9787948 5157881, -9787948 5157381, -9788448 5157381, -9788448 5157881))",0,0,0,0,0,0
34,"POLYGON ((-9788448 5158381, -9787948 5158381, -9787948 5157881, -9788448 5157881, -9788448 5158381))",0,0,0,0,0,6542.977
35,"POLYGON ((-9788448 5158881, -9787948 5158881, -9787948 5158381, -9788448 5158381, -9788448 5158881))",0,0,0,0,0,6731.065
36,"POLYGON ((-9788448 5159381, -9787948 5159381, -9787948 5158881, -9788448 5158881, -9788448 5159381))",0,0,0,0,0,0
37,"POLYGON ((-9788448 5159881, -9787948 5159881, -9787948 5159381, -9788448 5159381, -9788448 5159881))",0,0,0,0,0,12605.602
38,"POLYGON ((-9788448 5160381, -9787948 5160381, -9787948 5159881, -9788448 5159881, -9788448 5160381))",0,0,0,0,0,16494.046
39,"POLYGON ((-9788448 5160881, -9787948 5160881, -9787948 5160381, -9788448 5160381, -9788448 5160881))",0,0,0,0,0,13346.054
40,"POLYGON ((-9787948 5160881, -9788448 5160881, -9788448 5161381, -9788364.571748363 5161381, -9788364.447456159 5161377.4223314775, -9788364.447420215 5161377.421262487, -9788364.157110823 5161369.064838991, -9788363.884090126 5161348.094514969, -9788363.728201369 5161339.597914705, -9788363.727812067 5161339.576125447, -9788363.49719136 5161327.006581119, -9788363.185574941 5161309.970632362, -9788354.636405353 5161310.489725838, -9788352.78894296 5161310.487121887, -9788337.70748028 5161310.466577571, -9788318.450106721 5161310.807624848, -9788307.079257749 5161311.009707215, -9788307.071762234 5161311.009836195, -9788299.232047355 5161311.149106826, -9788293.030575093 5161311.259823572, -9788292.929323819 5161311.261646581, -9788280.053627301 5161311.491559676, -9788270.123683343 5161311.545480135, -9788265.39771485 5161311.571163126, -9788262.268121019 5161311.588164243, -9788260.916217811 5161311.595493663, -9788255.406267557 5161311.683438447, -9788241.856009776 5161311.899746244, -9788222.79625222 5161312.203757169, -9788209.491747862 5161312.41579816, -9788209.189471247 5161312.420654895, -9788203.735879937 5161312.507603603, -9788197.733234383 5161312.603415144, -9788196.5969532 5161312.621582606, -9788184.675708922 5161312.811947147, -9788179.1955698 5161312.831009505, -9788178.63929892 5161312.8329750635, -9788175.875351887 5161312.842556062, -9788170.493016502 5161312.861337396, -9788165.696522389 5161312.878085674, -9788160.055609144 5161312.980193827, -9788160.054625837 5161312.980271375, -9788146.675437924 5161313.222372276, -9788139.167091267 5161313.344502766, -9788134.897695463 5161313.413931013, -9788127.81261875 5161313.529059477, -9788115.283200573 5161313.653923256, -9788114.024364851 5161313.6664835, -9788108.989677604 5161313.7166437, -9788105.3729212 5161313.784143927, -9788105.36862055 5161313.78420571, -9788104.578390762 5161313.798949952, -9788093.845388277 5161313.999203384, -9788090.28441806 5161314.06572973, -9788071.5785871 5161314.414118473, -9788053.454145785 5161314.5667241495, -9788053.229246994 5161314.56894307, -9788046.27132422 5161314.617239129, -9788041.92581231 5161314.647333986, -9788035.471047977 5161314.692137536, -9788017.200148435 5161314.887921806, -9788012.575962981 5161314.937477409, -9787998.929249322 5161315.083465383, -9787996.867570115 5161315.127827546, -9787996.866546243 5161315.127822669, -9787989.945704037 5161315.276640356, -9787980.617152875 5161315.477165868, -9787971.823338207 5161315.708553891, -9787964.473435398 5161315.9020896545, -9787948 5161316.077755156, -9787948 5160881))",0,0,0,0,0,14188.336
41,"POLYGON ((-9788448 5161381, -9788448 5161517.600673428, -9788442.070394691 5161523.3452480985, -9788437.123160632 5161528.1380573595, -9788420.653467929 5161544.092987614, -9788416.433390865 5161548.249485253, -9788396.697749127 5161567.687562528, -9788383.39296461 5161580.790999803, -9788383.392347574 5161580.791572418, -9788383.391977234 5161580.791940655, -9788382.438521551 5161581.730980672, -9788382.436422965 5161581.733067337, -9788376.144429421 5161588.474275418, -9788367.656051032 5161597.568614055, -9788367.428416114 5161583.233058444, -9788367.419018209 5161582.31985151, -9788367.212229798 5161562.262948074, -9788367.225717079 5161558.303201607, -9788367.225718815 5161558.302831631, -9788367.225720549 5161558.302461657, -9788367.28427406 5161541.123271666, -9788366.720381292 5161527.688516112, -9788366.481287347 5161521.990771563, -9788366.46227397 5161521.538563705, -9788366.384318992 5161519.681050333, -9788366.330429668 5161515.189133722, -9788366.17788604 5161502.475313204, -9788366.119516907 5161497.611141341, -9788366.101231687 5161493.579495046, -9788366.079996614 5161488.892929413, -9788366.054635527 5161483.295659949, -9788366.022123314 5161476.122613815, -9788365.753569659 5161460.8017895585, -9788365.640353795 5161454.340507124, -9788365.494327044 5161447.041728934, -9788365.202200687 5161432.4423800055, -9788364.935539452 5161410.6040624995, -9788364.914527321 5161401.563807474, -9788364.887883248 5161390.099732631, -9788364.571748363 5161381, -9788448 5161381))",0,0,0,0,0,2357.122
42,"POLYGON ((-9787452.668041473 5154381, -9787451.048450636 5154072.301351969, -9787451.04845574 5154072.300283982, -9787579.243871735 5154112.979579643, -9787605.133693013 5154121.627747938, -9787692.81861429 5154150.917204099, -9787692.819758603 5154150.9175382005, -9787738.64636002 5154166.495576731, -9787784.483522104 5154180.069200716, -9787832.249304676 5154194.522150219, -9787892.102182562 5154212.632072351, -9787916.8361359 5154220.698589427, -9787916.233380161 5154348.087684966, -9787916.360520456 5154381, -9787452.668041473 5154381))",0,0,0,0,0,15566.563
43,"POLYGON ((-9787916.360520456 5154381, -9787916.859859722 5154510.262018304, -9787916.91954503 5154525.707982685, -9787916.871177813 5154648.925642374, -9787916.864338923 5154666.269731271, -9787916.90896116 5154785.706329138, -9787916.908939391 5154785.710930037, -9787917.143467847 5154821.29460366, -9787917.143501777 5154821.296082721, -9787917.195916709 5154829.248381091, -9787917.282210054 5154842.340938589, -9787928.370446814 5154844.747956257, -9787948 5154849.0090809995, -9787948 5154881, -9787448 5154881, -9787448 5154746.958585252, -9787448.32969162 5154747.016421889, -9787451.276757322 5154747.533396046, -9787451.349751433 5154736.646915313, -9787451.396412894 5154729.69374484, -9787451.416462399 5154726.706656739, -9787451.41646947 5154726.705177887, -9787452.15719847 5154616.274595578, -9787453.133561568 5154470.713194434, -9787453.136450343 5154470.280070749, -9787452.668041473 5154381, -9787916.360520456 5154381))",0,0,0,0,0,0
44,"POLYGON ((-9787948 5155381, -9787448 5155381, -9787448 5154881, -9787948 5154881, -9787948 5155381))",1,0,0,0,0,19270.068
45,"POLYGON ((-9787948 5155881, -9787448 5155881, -9787448 5155381, -9787948 5155381, -9787948 5155881))",0,0,0,0,0,28275.947
